GRUPO,ALIMENTOS,Cantidad sugerida,Unidad,Peso bruto redondeado (g),Peso neto (g),Energia (Kcal),Proteina (g),Lípidos (g),Hidratos de carbono (g),Fibra (g),Acido Fólico (µg),Calcio (mg),Hierro (mg),sodio (mg),Azúcar por equivalente (g),indice glicémuco,Carga glicémica
CEREALES CON GRASA,Barra Choco Krispis,1,barra,19,19,17,1.0,1.5,15.0,0.5,0.0,0.0,0.0,90.6,ND,ND,ND
CEREALES CON GRASA,Barra de fruta con Avena fresa,30,g,30,30,120,1.6,4.8,17.7,1.9,0.0,0.0,0.0,54.9,ND,ND,ND
CEREALES CON GRASA,Barra de granola,3/4,pieza,21,21,101,2.2,4.2,13.7,1.1,5.3,12.8,0.6,62.3,ND,ND,ND
CEREALES CON GRASA,Barra multigrano linaza,20,g,20,20,99,1.9,4.8,12.0,1.4,0.0,0.0,0.0,36.9,ND,ND,ND
CEREALES CON GRASA,Barra zucaritas,1,barra,21,21,90,1.0,2.0,16.0,0.5,0.0,0.0,0.0,100.0,ND,ND,ND
CEREALES CON GRASA,Barra Chewy para niños varios sabores,1,paquete,23,23,95,1.6,2.3,17.0,1.5,0.0,0.0,0.0,69.9,ND,ND,ND
CEREALES CON GRASA,Barrita de granola con cacahuate,1/3,pieza,19,19,87,1.4,5.0,11.0,0.7,0.0,9.6,0.2,31.7,5.9,ND,ND
CEREALES CON GRASA,Barrita de granola con choco chip,1,pieza,28,28,119,2.1,4.7,19.6,1.4,6.0,26.0,0.7,77.0,ND,ND,ND
CEREALES CON GRASA,Barrita de granola con pasitas y nuez,3/4,pieza,21,21,87,1.7,4.4,13.5,1.2,6.8,18.0,0.5,54.0,ND,ND,ND
CEREALES CON GRASA,Barrita de granola cubierta con chocolate,3/4,pieza,21,21,98,1.2,5.3,13.4,0.8,5.3,21.8,0.5,42.0,ND,ND,ND
CEREALES CON GRASA,Barrita de fresa,1/3,pieza,21,21,97,1.1,3.9,14.4,0.3,26.4,0.0,1.0,36.6,ND,50.0,10.6
CEREALES CON GRASA,Barrita marinela,20,g,20,20,91,0.7,3.8,13.4,0.2,0.0,0.0,0.0,32.5,ND,ND,ND
CEREALES CON GRASA,Base para pay,20,g,20,20,110,1.0,8.0,9.0,0.0,0.0,0.0,0.4,150.0,ND,ND,ND
CEREALES CON GRASA,Bigote relleno de chocolate,1/3,pieza,21,21,93,1.5,4.6,11.3,0.4,0.0,0.0,0.0,55.2,ND,ND,ND
CEREALES CON GRASA,Bigote de cajeta,1/3,pieza,22,22,103,2.4,5.0,9.0,0.0,23.1,39.6,0.4,131.5,ND,ND,ND
CEREALES CON GRASA,Bigotes de chocolate,1/3,pieza,22,22,103,2.4,5.0,9.0,0.0,23.1,39.6,0.4,131.5,ND,ND,ND
CEREALES CON GRASA,Bigotes miniatura de cajeta,2,pieza,26,26,119,2.8,5.8,10.5,0.0,26.8,45.9,0.5,152.4,ND,ND,ND
CEREALES CON GRASA,Bimbuñuelos,2,pieza,30,30,120,0.9,5.8,16.0,0.0,0.0,0.0,0.0,103.6,ND,ND,ND
CEREALES CON GRASA,Bisquet,1/2,pieza,33,33,118,2.0,5.4,15.8,0.5,1.9,15.8,1.1,341.7,ND,ND,ND
CEREALES CON GRASA,Botanas con proteinas de amaranto,1/2,bolsa,20,20,101,1.5,5.8,10.1,0.5,0.0,0.0,0.0,100.4,ND,ND,ND
CEREALES CON GRASA,Brownie casero,1,pieza,24,24,112,1.5,7.0,12.0,0.0,4.0,14.0,0.4,82.0,ND,ND,ND
CEREALES CON GRASA,Brownie comercial,1/2,pieza,28,28,114,1.4,4.6,17.9,0.6,3.5,8.0,0.6,87.5,ND,ND,ND
CEREALES CON GRASA,Charritos de amaranto,1/2,bolsa,20,20,101,1.5,5.8,10.1,0.5,0.0,0.0,0.0,100.4,ND,ND,ND
CEREALES CON GRASA,Cheescake,1,rebanada,30,30,96,1.7,6.8,7.7,0.1,0.0,0.0,0.0,0.0,ND,ND,ND
CEREALES CON GRASA,Cheetos,20,g,20,20,110,0.8,7.2,10.4,0.0,0.0,0.0,0.0,128.0,ND,ND,ND
CEREALES CON GRASA,Cheetos poffs,20,g,20,20,106,1.6,6.4,10.4,0.6,0.0,0.0,0.0,158.0,ND,ND,ND
CEREALES CON GRASA,Chetos torciditos,20,g,20,20,108,1.0,7.0,10.2,0.4,0.0,0.0,0.0,126.0,ND,ND,ND
CEREALES CON GRASA,Chicharrón de harina enchilado,1/2,bolsa,23,23,106,2.1,5.6,12.5,0.9,0.0,0.0,0.0,0.0,ND,ND,ND
CEREALES CON GRASA,Chips ahoy,2,pieza,19,19,91,1.0,4.0,12.6,0.3,0.0,0.0,0.0,65.9,ND,ND,ND
CEREALES CON GRASA,Chips de platano,3/7,bolsa individual,21,21,109,0.5,7.1,12.3,1.7,0.0,0.0,0.0,0.0,7.4,ND,ND
CEREALES CON GRASA,Choco chispas,4,pieza,18,18,93,1.0,0.2,12.7,0.2,0.0,0.0,0.0,49.2,ND,ND,ND
CEREALES CON GRASA,Churritos barcel,1/4,paquete,15,15,83,0.8,5.5,7.7,0.7,0.0,0.0,0.0,191.7,ND,ND,ND
CEREALES CON GRASA,Concha! pan dulce,1/3,pieza,21,21,87,2.3,3.7,11.1,0.0,0.0,7.9,1.0,82.4,ND,ND,ND
CEREALES CON GRASA,Costra para pay casera,90,g,90,90,109,1.4,7.2,9.8,0.4,0.0,0.0,0.0,0.0,ND,ND,ND
CEREALES CON GRASA,Costra para pay congelada,125,g,125,125,101,1.3,5.8,11.3,0.6,0.0,0.0,0.0,0.0,0.9,ND,ND
CEREALES CON GRASA,Croissant,1/2,pieza mediana,29,29,116,2.3,6.0,13.1,0.7,37.1,10.5,0.6,133.1,3.2,ND,ND
CEREALES CON GRASA,Croissant de manzana,3/4,pieza mediana,43,43,109,3.2,3.7,15.9,1.1,37.6,12.8,0.5,117.1,ND,ND,ND
CEREALES CON GRASA,Croissant de queso,1/2,pieza mediana,29,29,118,2.6,6.0,13.4,0.7,29.4,15.1,0.6,102.9,3.2,ND,ND
CEREALES CON GRASA,Croutones sazonados,3/4,taza,23,23,105,2.4,4.1,14.3,1.1,9.0,21.4,0.6,278.4,ND,ND,ND
CEREALES CON GRASA,Cuernitos,1/2,pieza mediana,29,29,116,2.3,6.0,13.1,0.7,37.1,10.5,0.6,133.1,3.2,ND,ND
CEREALES CON GRASA,Cuernitos de manzana,3/4,pieza mediana,43,43,109,3.2,3.7,15.9,1.1,37.6,12.8,0.5,117.1,ND,ND,ND
CEREALES CON GRASA,Cuernitos de queso,1/2,pieza mediana,29,29,118,2.6,6.0,13.4,0.7,29.4,15.1,0.6,102.9,3.2,ND,ND
CEREALES CON GRASA,Cuernos,1/2,pieza mediana,29,29,116,2.3,6.0,13.1,0.7,37.1,10.5,0.6,133.1,3.2,ND,ND
CEREALES CON GRASA,Cupcake de chocolate,1/2,pieza ,30,30,105,1.0,3.5,18.0,1.0,0.0,0.0,0.0,0.0,13.0,ND,ND
CEREALES CON GRASA,Dalmata,1/3,pieza,19,19,83,0.8,4.0,10.9,0.2,0.0,0.0,0.0,47.9,ND,ND,ND
CEREALES CON GRASA,Dona,1/3,pieza,21,21,90,1.0,4.9,10.7,0.3,1.8,9.6,0.4,117.3,3.6,76.0,16.3
